File_name,Label_step_number,Label_part_1,theta,phi,alpha,additional,#,hole,Label_part_2,theta,phi,alpha,additional,#,hole,Label_part_3,theta,phi,alpha,additional,#,hole,Label_part_4,theta,phi,alpha,additional,#,hole,Label_action,#,Label_connector,#
stefan,1,stefan_part2,180,000,090,right,1,"00#00,00#01",,,,,,,,,,,,,,,,,,,,,,A004,2,122620,2
stefan,1,stefan_part3,090,090,000,right,1,"00#00,00#01",,,,,,,,,,,,,,,,,,,,,,A004,2,122620,2
