File_name,Label_step_number,Label_part_1,theta,phi,alpha,additional,#,hole,Label_part_2,theta,phi,alpha,additional,#,hole,Label_part_3,theta,phi,alpha,additional,#,hole,Label_part_4,theta,phi,alpha,additional,#,hole,Label_action,#,Label_connector,#
stefan,9,step8,090,180,270,left,1,"00#00,00#01",,,,,,,,,,,,,,,,,,,,,,A001,['1'],,['1']
stefan,9,step8,090,180,270,left,1,"00#00,00#01",,,,,,,,,,,,,,,,,,,,,,A003,2,,2
