File_name,Label_step_number,Label_part_1,theta,phi,alpha,additional,#,hole,Label_part_2,theta,phi,alpha,additional,#,hole,Label_part_3,theta,phi,alpha,additional,#,hole,Label_part_4,theta,phi,alpha,additional,#,hole,Label_action,#,Label_connector,#
mission2_syn,6,part3,090,090,000,right,1,,,,,,,,,,,,,,,,,,,,,,,[''],,,
mission2_syn,6,part6,090,180,180,left,1,,,,,,,,,,,,,,,,,,,,,,,[''],,,
