File_name,Label_step_number,Label_part_1,theta,phi,alpha,additional,#,hole,Label_part_2,theta,phi,alpha,additional,#,hole,Label_part_3,theta,phi,alpha,additional,#,hole,Label_part_4,theta,phi,alpha,additional,#,hole,Label_action,#,Label_connector,#
mission2_syn,4,part1,090,270,000,left,1,,,,,,,,,,,,,,,,,,,,,,,[''],,,
mission2_syn,4,part2,090,090,000,right,1,,,,,,,,,,,,,,,,,,,,,,,[''],,,
