//X Y Z Nx Ny Nz
9961
-225.489547729492 32.601634979248 -261.070312500000 0.000978 0.000978 -0.999999
-220.678604125977 47.269691467285 -261.070312500000 0.000978 0.000978 -0.999999
-220.404342651367 60.299980163574 -261.070312500000 0.000978 0.000978 -0.999999
-220.658645629883 61.385593414307 -261.070312500000 0.000978 0.000978 -0.999999
-225.506546020508 29.764039993286 32.929687500000 0.000978 0.000978 0.999999
-220.488571166992 45.050853729248 32.929691314697 0.000978 0.000978 0.999999
-219.559906005859 46.560150146484 32.929691314697 0.000978 0.000978 0.999999
-220.135437011719 59.685131072998 32.929691314697 0.000978 0.000978 0.999999
-221.601089477539 58.743534088135 32.929691314697 0.000978 0.000978 0.999999
-222.944549560547 61.525817871094 0.899751722813 -0.005316 -0.086124 -0.996270
-216.999252319336 58.977401733398 0.254007786512 0.029180 0.573871 -0.818426
-213.724090576172 59.092323303223 -4.594935417175 0.029180 0.573871 0.818426
-221.260925292969 59.939731597900 -4.830132961273 0.022413 0.423212 0.905753
-223.705764770508 64.220382690430 -2.141060829163 -0.052009 -0.994813 0.087420
-213.581329345703 62.191143035889 0.529071509838 -0.022413 -0.423212 -0.905753
-220.532699584961 60.757293701172 -223.096374511719 0.005316 0.086124 -0.996270
-223.501739501953 59.434413909912 -223.664733886719 0.029180 0.573871 -0.818426
-213.711471557617 57.752304077148 -226.636276245117 0.051012 0.964250 0.260037
-213.312805175781 58.769897460938 -228.384567260742 0.029180 0.573871 0.818426
-218.338058471680 61.178577423096 -229.049560546875 -0.005316 -0.086124 0.996270
-218.066650390625 62.505046844482 -223.525390625000 -0.029180 -0.573871 -0.818426
-218.873092651367 30.167011260986 -281.180877685547 -0.990125 0.140185 0.001104
-219.105178833008 29.207565307617 -265.709899902344 -0.951115 0.308835 0.001230
-220.049041748047 27.777894973755 -262.675781250000 -0.668888 0.743362 0.001379
-220.752975463867 27.234703063965 -283.560546875000 -0.528668 0.848828 0.001345
-226.515975952148 29.117481231689 -266.731567382813 0.926978 0.375114 0.001272
-226.724151611328 31.548782348633 -278.307312011719 0.951115 -0.308835 0.001230
-225.440673828125 33.647342681885 -280.863464355469 0.668888 -0.743362 0.001379
-223.266876220703 34.606788635254 -268.313537597656 0.035367 -0.999374 0.001010
-222.225540161133 34.573604583740 -263.791320800781 -0.140185 -0.990125 0.001104
-219.683532714844 45.664066314697 -277.834350585938 -0.951115 0.308835 0.001230
-219.835128784180 45.368064880371 -279.658111572266 -0.883337 0.468736 0.001320
-221.469284057617 44.178253173828 -261.735351562500 -0.207235 0.978290 0.001158
-221.801651000977 44.127574920654 -282.089813232422 -0.035367 0.999374 0.001010
-222.983718872070 44.318511962891 -278.277648925781 0.468736 0.883337 0.001320
-223.871826171875 44.976535797119 -262.211914062500 0.743362 0.668888 0.001379
-224.026336669922 45.165691375732 -283.886688232422 0.848828 0.528668 0.001345
-224.489181518555 46.752887725830 -282.367889404297 0.990125 -0.140185 0.001104
-224.372695922852 47.351081848145 -280.327209472656 0.951115 -0.308835 0.001230
-224.296218872070 47.586471557617 -277.358062744141 0.951115 -0.308835 0.001230
-223.009643554688 48.888561248779 -265.034942626953 0.375114 -0.926978 0.001272
-220.618301391602 48.698604583740 -279.971740722656 -0.615457 -0.788169 0.001371
-219.511459350586 46.886604309082 -277.376098632813 -0.999374 -0.035367 0.001010
-217.231826782227 61.884860992432 -261.233337402344 -0.990125 0.140185 0.001104
-218.084014892578 60.051246643066 -276.370544433594 -0.788169 0.615457 0.001371
-224.504547119141 60.429279327393 -277.229278564453 0.848828 0.528668 0.001345
-225.114700317383 63.058944702148 -263.170196533203 0.990125 -0.140185 0.001104
-224.690795898438 64.431762695313 -280.521270751953 0.883337 -0.468736 0.001320
-222.731018066406 66.252525329590 -272.713195800781 0.375114 -0.926978 0.001272
-221.619400024414 66.561981201172 -267.850036621094 0.035367 -0.999374 0.001010
-220.943954467773 66.585006713867 -274.166656494141 -0.140185 -0.990125 0.001104
-217.768508911133 64.688560485840 -267.666809082031 -0.848828 -0.528668 0.001345
-225.208129882813 27.435018539429 42.485313415527 0.615457 0.788169 0.001371
-222.915435791016 26.644636154175 53.179992675781 -0.035367 0.999374 0.001010
-221.891265869141 26.760784149170 45.075954437256 -0.207235 0.978290 0.001158
-219.598861694336 28.299751281738 47.462066650391 -0.788169 0.615457 0.001371
-218.840774536133 30.540410995483 49.674301147461 -0.999374 -0.035367 0.001010
-218.854324340820 30.928089141846 36.008739471436 -0.999374 -0.035367 0.001010
-219.630905151367 33.032714843750 42.984535217285 -0.848828 -0.528668 0.001345
-220.214248657227 33.646881103516 52.001983642578 -0.615457 -0.788169 0.001371
-220.708206176758 34.018959045410 40.073684692383 -0.468736 -0.883337 0.001320
-224.056930541992 34.437305450439 48.524101257324 0.375114 -0.926978 0.001272
-224.515823364258 34.251903533936 38.202301025391 0.375114 -0.926978 0.001272
-226.248199462891 32.696281433105 43.792854309082 0.883337 -0.468736 0.001320
-224.484680175781 46.577404022217 37.492027282715 0.999374 0.035367 0.001010
-224.284927368164 45.635036468506 49.453510284424 0.926978 0.375114 0.001272
-224.225280761719 45.487438201904 42.079975128174 0.926978 0.375114 0.001272
-222.294128417969 44.140087127686 36.838523864746 0.140185 0.990125 0.001104
-221.884628295898 44.124660491943 54.000076293945 -0.035367 0.999374 0.001010
-221.823211669922 44.126811981201 38.348217010498 -0.035367 0.999374 0.001010
-221.260787963867 44.222980499268 55.899784088135 -0.375114 0.926978 0.001272
-219.533279418945 46.226203918457 51.008663177490 -0.990125 0.140185 0.001104
-219.658706665039 47.481300354004 47.908535003662 -0.926978 -0.375114 0.001272
-220.095825195313 48.226802825928 41.418838500977 -0.743362 -0.668888 0.001379
-220.239593505859 48.386459350586 47.760398864746 -0.743362 -0.668888 0.001379
-220.529586791992 48.629276275635 37.406185150146 -0.615457 -0.788169 0.001371
-222.380020141602 49.076911926270 47.525852203369 0.207235 -0.978290 0.001158
-223.782043457031 48.354091644287 46.700664520264 0.668888 -0.743362 0.001379
-223.896850585938 48.222434997559 55.729236602783 0.788169 -0.615457 0.001371
-223.971923828125 48.126335144043 39.944458007813 0.788169 -0.615457 0.001371
-224.367218017578 47.367923736572 49.793441772461 0.951115 -0.308835 0.001230
-224.367752075195 47.366294860840 44.016723632813 0.951115 -0.308835 0.001230
-223.233306884766 59.182125091553 45.031387329102 0.468736 0.883337 0.001320
-220.857711791992 58.614154815674 36.618026733398 -0.035367 0.999374 0.001010
-220.593887329102 58.636718750000 37.868579864502 -0.207235 0.978290 0.001158
-220.360000610352 58.686435699463 35.765045166016 -0.207235 0.978290 0.001158
-219.466064453125 58.976200103760 37.891613006592 -0.375114 0.926978 0.001272
-217.299346923828 63.610038757324 46.995601654053 -0.978290 -0.207235 0.001158
-217.577148437500 64.368865966797 54.665744781494 -0.926978 -0.375114 0.001272
-217.958465576172 64.992546081543 53.468849182129 -0.848828 -0.528668 0.001345
-221.982681274414 66.489128112793 53.150512695313 0.207235 -0.978290 0.001158
-224.869491577148 64.058654785156 55.254867553711 0.951115 -0.308835 0.001230
-210.905258178711 67.123725891113 35.456161499023 0.998629 -0.052343 0.001026
-210.968383789063 65.919219970703 26.566263198853 0.998629 -0.052343 0.001026
-211.307861328125 59.441539764404 -193.619232177734 0.998629 -0.052343 0.001026
-211.268676757813 60.189334869385 -164.376434326172 0.998629 -0.052343 0.001026
