//X Y Z Nx Ny Nz
10021
-262.202545166016 -7.617334842682 -195.532135009766 0.300369 0.079318 -0.950519
-261.571502685547 -9.248652458191 -196.295303344727 0.001310 0.894688 -0.446689
-264.725311279297 -8.984353065491 -199.136718750000 0.000978 0.000978 -0.999999
-262.128509521484 -12.955092430115 -198.696472167969 -0.087863 -0.996132 0.001059
-264.283172607422 -2.484969139099 -198.713577270508 -0.572458 0.819933 0.001360
-262.180633544922 -2.076770544052 -198.190032958984 -0.061807 0.705755 0.705755
-261.812408447266 -12.641219139099 -198.145156860352 -0.061807 -0.705755 0.705755
-261.314514160156 -7.745528221130 -139.136718750000 0.000978 0.000978 0.999999
-264.422973632813 -7.169954776764 -168.156509399414 -0.996132 0.087863 0.001059
-264.419342041016 -7.601844787598 -175.571502685547 -0.996132 -0.087863 0.001059
-264.024841308594 -8.884276390076 -188.224899291992 -0.819933 -0.572458 0.001360
-260.284393310547 -10.123977661133 -163.852584838867 0.421606 -0.906778 0.001297
-259.968109130859 -9.976479530334 -152.654205322266 0.421606 -0.906778 0.001297
-258.532928466797 -8.062812805176 -148.332977294922 0.965696 -0.259673 0.001197
-259.494567871094 -5.084286689758 -187.726638793945 0.707106 0.707106 0.001384
-261.775512695313 -4.394671916962 -190.041992187500 -0.087863 0.996132 0.001059
-262.506652832031 -4.565133571625 -181.791839599609 -0.421606 0.906778 0.001297
-263.204620361328 -4.952504158020 -193.672348022461 -0.572458 0.819933 0.001360
104.726089477539 -29.295574188232 -163.918624877930 0.999999 0.000978 0.000978
107.876777648926 -25.882484436035 -163.980255126953 0.000978 -0.999999 0.000978
106.146087646484 -24.487819671631 -163.492706298828 -0.999999 0.000978 0.000978
100.281372070313 -27.475536346436 -164.136718750000 0.000978 0.000978 -0.999999
103.251663208008 -28.430862426758 -164.136718750000 0.000978 0.000978 -0.999999
110.777267456055 -28.359151840210 -164.136718750000 0.000978 0.000978 -0.999999
105.378761291504 -26.828014373779 -104.136718750000 0.000978 0.000978 0.999999
102.650482177734 -27.690319061279 -131.327056884766 -0.906778 -0.421606 0.001297
102.770149230957 -27.946952819824 -114.472587585449 -0.906778 -0.421606 0.001297
103.106155395508 -28.475439071655 -110.141052246094 -0.819933 -0.572458 0.001360
103.459289550781 -28.842185974121 -112.498352050781 -0.707106 -0.707106 0.001384
103.521423339844 -28.900213241577 -148.391265869141 -0.572458 -0.819933 0.001360
105.208999633789 -29.572624206543 -121.739830017090 -0.087863 -0.996132 0.001059
106.762596130371 -29.271465301514 -138.866882324219 0.421606 -0.906778 0.001297
108.282577514648 -25.668695449829 -142.165618896484 0.965696 0.259673 0.001197
108.244529724121 -25.543609619141 -126.340469360352 0.906778 0.421606 0.001297
107.372192382813 -24.302093505859 -107.000564575195 0.707106 0.707106 0.001384
106.881965637207 -23.969179153442 -128.850433349609 0.421606 0.906778 0.001297
