//X Y Z Nx Ny Nz
9981
-260.302856445313 -9.028216362000 199.439468383789 -0.756799 0.650127 0.067752
-260.258819580078 -10.845547676086 195.696670532227 0.421606 -0.906778 0.001297
-260.682922363281 -10.993724822998 179.636718750000 0.259673 -0.965696 0.001197
-261.127136230469 -11.078628540039 185.301574707031 0.087863 -0.996132 0.001059
-262.911437988281 -10.727901458740 155.998794555664 -0.421606 -0.906778 0.001297
-263.237396240234 -10.510790824890 162.714447021484 -0.572458 -0.819933 0.001360
-263.444183349609 -10.348967552185 152.417419433594 -0.707106 -0.707106 0.001384
-264.046569824219 -9.622670173645 167.746139526367 -0.819933 -0.572458 0.001360
-264.068267822266 -6.631658554077 160.292724609375 -0.906778 0.421606 0.001297
-262.404724121094 -5.267061710358 157.505325317383 -0.259673 0.965696 0.001197
-260.123901367188 -5.432674884796 182.418182373047 0.421606 0.906778 0.001297
169.695739746094 438.858734130859 165.029617309570 0.000978 0.000978 0.999999
169.544387817383 441.612518310547 116.720420837402 0.996132 0.087863 0.001059
169.045898437500 439.764709472656 154.669326782227 0.819933 -0.572458 0.001360
167.746002197266 438.681091308594 123.675109863281 0.421606 -0.906778 0.001297
165.851226806641 438.522003173828 150.766220092773 -0.259673 -0.965696 0.001197
165.656997680664 438.574066162109 133.583938598633 -0.259673 -0.965696 0.001197
163.651596069336 440.735900878906 119.518577575684 -0.965696 -0.259673 0.001197
164.151626586914 443.195831298828 120.150604248047 -0.819933 0.572458 0.001360
164.469406127930 443.561096191406 108.893157958984 -0.707106 0.707106 0.001384
165.567596435547 444.253845214844 136.801696777344 -0.259673 0.965696 0.001197
167.779006958008 444.155364990234 139.946258544922 0.421606 0.906778 0.001297
168.811904907227 443.401214599609 128.116760253906 0.707106 0.707106 0.001384
169.082931518555 443.034240722656 106.291015625000 0.819933 0.572458 0.001360
104.592674255371 -22.365169525146 165.029602050781 0.000978 0.000978 0.999999
108.406509399414 -27.213306427002 127.958786010742 0.996132 0.087863 0.001059
107.528068542480 -29.450391769409 135.276199340820 0.707106 -0.707106 0.001384
105.718009948730 -30.308502197266 145.412750244141 0.087863 -0.996132 0.001059
103.682785034180 -29.768795013428 121.845985412598 -0.572458 -0.819933 0.001360
102.445022583008 -27.653438568115 130.251464843750 -0.996132 -0.087863 0.001059
102.439590454102 -27.078306198120 120.534210205078 -0.996132 0.087863 0.001059
104.057334899902 -24.671377182007 151.816146850586 -0.421606 0.906778 0.001297
104.473220825195 -24.493734359741 115.285339355469 -0.259673 0.965696 0.001197
107.073776245117 -24.846420288086 106.163696289063 0.572458 0.819933 0.001360
107.405883789063 -25.097064971924 150.657196044922 0.707106 0.707106 0.001384
-260.748992919922 -10.020276069641 -199.661468505859 -0.999999 0.000978 0.000978
-264.667541503906 -3.500769615173 -199.970397949219 0.000978 0.000978 -0.999999
-262.273864746094 -5.756793022156 -199.970397949219 0.000978 0.000978 -0.999999
-261.223022460938 -11.488591194153 -197.065536499023 0.067604 -0.758027 0.648710
-264.422729492188 -7.693224430084 -148.029418945313 -0.996132 0.087863 0.001059
-264.108978271484 -9.496297836304 -152.781631469727 -0.906778 -0.421606 0.001297
-263.659576416016 -10.133552551270 -140.159118652344 -0.707106 -0.707106 0.001384
-261.688781738281 -11.087540626526 -193.921173095703 -0.087863 -0.996132 0.001059
-261.630889892578 -11.092606544495 -161.936981201172 -0.087863 -0.996132 0.001059
-261.321166992188 -11.095588684082 -159.816375732422 0.087863 -0.996132 0.001059
-261.106018066406 -11.076766014099 -148.252761840820 0.087863 -0.996132 0.001059
-259.321166992188 -10.196334838867 -140.705291748047 0.707106 -0.707106 0.001384
-258.512420654297 -8.657875061035 -165.785949707031 0.965696 -0.259673 0.001197
-258.691162109375 -6.971729755402 -185.398941040039 0.906778 0.421606 0.001297
-259.030792236328 -6.365032196045 -144.222900390625 0.819933 0.572458 0.001360
-260.408905029297 -5.299775123596 -143.573944091797 0.421606 0.906778 0.001297
-261.549530029297 -5.115566253662 -193.956695556641 -0.087863 0.996132 0.001059
-263.245422363281 -5.710124969482 -172.085479736328 -0.572458 0.819933 0.001360
-264.287170410156 -7.115437030792 -192.125289916992 -0.965696 0.259673 0.001197
103.018554687500 -31.974441528320 -163.908935546875 -0.300640 -0.641473 0.705781
102.682586669922 -28.542121887207 -137.669113159180 -0.906778 -0.421606 0.001297
102.781143188477 -28.753486633301 -137.752441406250 -0.906778 -0.421606 0.001297
103.226661682129 -29.370824813843 -114.973518371582 -0.707106 -0.707106 0.001384
104.121856689453 -30.028345108032 -152.321136474609 -0.421606 -0.906778 0.001297
