Blender 2.82 (sub 7)
Read prefs: /home/isaackang/.config/blender/2.82/config/userpref.blend
Info: Deleted 3 object(s)
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 48%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 49%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 50%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 51%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 52%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 53%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 54%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 55%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 56%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 57%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 58%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 59%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 60%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 61%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 62%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 63%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 64%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 65%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 67%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 68%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 69%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 70%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 71%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 72%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 73%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 74%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.40 | Freestyle: Visibility computations 75%
Fra:1 Mem:91.92M (0.00M, Peak 175.55M) | Time:00:00.41 | Freestyle: Visibility computations 76%
