Label,Serial Number (primary),Action Label,Remarks,probable action,,
PT0210,114577,A011,Nut,,,
PT0211,114594,0,,,,
PT0212,114613,0,,,,
PT0213,114667,A001,,,,
PT0214,114670,0,,,,
PT0215,114671,0,,,,
PT0216,114729,0,Tanned,A004,,
PT0217,114794,A009,"
","
","
","
"
PT0218,114859,A008,,,,
PT0219,114946,0,,,,
PT0220,114947,0,,,,
PT0221,115307,0,,,,
PT0222,115309,0,,,,
PT0223,115312,0,,,,
PT0224,115339,A013,,,,
PT0225,115443,0,,,,
PT0226,115444,0,,,,
PT0227,115447,0,,,,
PT0228,115461,A008,,,,
PT0229,115753,0,,,,
PT0230,115754,0,,,,
PT0231,115908,0,,,,
PT0232,115980,0,,,,
PT0233,115982,0,,,,
PT0234,115983,0,,,,
PT0235,115992,0,,,,
PT0236,116546,A013,,,,
PT0237,116562,0,Cylindrical,A004,,
PT0238,116599,A010,,,,
PT0239,117215,0,,,,
PT0240,117217,0,,,,
PT0241,117218,A011,Nut,,,
PT0242,117229,0,,,,
PT0243,117243,0,,,,
PT0244,117375,0,,,,
PT0245,117434,0,,,,
PT0246,117444,A008,,,,
PT0247,117494,A001,,,,
PT0248,117550,A008,,,,
PT0249,117559,0,,,,
PT0250,117616,0,,,,
PT0251,117626,A008,,,,
PT0252,117710,A008,,,,
PT0253,118137,0,,,,
PT0254,118250,0,,,,
PT0255,118790,0,,,,
PT0256,118832,A003,,,,
PT0257,119081,0,,,,
PT0258,119250,0,,,,
PT0259,120139,0,,,,
PT0260,120171,0,,,,
PT0261,120199,A009,,,,
PT0262,120200,A010,,,,
PT0263,120202,0,Ranch,,,
PT0264,120262,0,,,,
PT0265,120298,0,,,,
PT0266,120833,0,,,,
PT0267,120923,A012,Hex,,,
PT0268,120926,A008,,,,
PT0269,120938,0,,,,
PT0270,121009,0,,,,
PT0271,121030,0,,,,
PT0272,121121,0,Cylindrical,A004,,
PT0273,121186,0,,,,
PT0274,121292,0,,,,
PT0275,121714,0,,,,
PT0276,121760,A001,,,,
PT0277,121762,0,,,,
PT0278,121817,A008,,,,
PT0279,122158,0,,,,
PT0280,122392,0,,,,
PT0281,122483,0,,,,
PT0282,122604,A006,,,,
PT0283,122620,A014,,,,
PT0284,122925,A001,,,,
PT0285,122973,A014,,,,
PT0286,123026,0,,,,
PT0287,123256,0,,,,
PT0288,123274,A008,,,,
PT0289,123433,A001,,,,
PT0290,123492,0,,,,
PT0291,123595,A008,,,,
PT0292,123723,A001,,,,
PT0293,123756,0,,,,
PT0294,123771,0,,,,
PT0295,123787,0,,,,
PT0296,123805,0,,,,
PT0297,123840,A014,,,,
PT0298,124089,A012,Hex,,,
PT0299,124216,0,,,,
PT0300,124217,0,,,,
PT0301,124218,0,,,,
PT0302,124325,0,Ranch,,,
PT0303,124334,A006,,,,
PT0304,126847,0,,,,
PT0305,126916,0,,,,
PT0306,128419,0,,,,
PT0307,128545,0,,,,
PT0308,128546,0,,,,
PT0309,128573,A008,,,,
PT0310,128605,0,,,,
PT0311,128606,0,,,,
PT0312,128632,0,Spanner,,,
PT0313,128654,A012,Hex,,,
PT0314,128699,0,,,,
PT0315,128758,A010,,,,
PT0316,128759,A010,,,,
PT0317,128785,0,,,,
PT0318,128786,0,,,,
PT0319,128815,0,,,,
PT0320,129891,0,,,,
PT0321,130419,A009,,,,
PT0322,130445,0,Ranch,,,
PT0323,130449,0,,,,
PT0324,130497,0,,,,
PT0325,130616,0,,,,
PT0326,130617,A014,,,,
PT0327,130618,0,,,,
PT0328,130619,0,,,,
PT0329,130700,0,,,,
PT0330,130718,A008,,,,
PT0331,130739,A010,,,,
PT0332,130789,0,,,,
PT0333,130872,0,,,,
PT0334,130900,0,,,,
PT0335,130915,A009,,,,
PT0336,131289,0,,,,
PT0337,131348,A010,,,,
PT0338,131349,A002,,,,
PT0339,131352,0,,,,
PT0340,131372,0,,,,
PT0341,131384,0,,,,
PT0342,133117,A006,,,,
PT0343,133203,0,,,,
PT0344,133208,0,,,,
PT0345,133304,0,,,,
PT0346,139369,0,,,,
PT0347,139411,A009,,,,
PT0348,139412,A009,,,,
PT0349,139434,0,,,,
PT0350,139435,A014,,,,
PT0351,139513,A006,,,,
PT0352,141144,0,,,,
PT0353,141287,A014,,,,
PT0354,141413,0,,,,
PT0355,141414,0,,,,
PT0356,142115,0,,,,
PT0357,142578,0,,,,
PT0358,142657,0,,,,
PT0359,143131,0,,,,
PT0360,143205,0,,,,
PT0361,144342,0,,,,
PT0362,144343,0,,,,
PT0363,144348,0,,,,
PT0364,144364,A006,,,,
PT0365,144567,0,,,,
PT0366,144854,0,,,,
PT0367,145706,0,,,,
PT0368,145715,0,,,,
PT0369,145717,0,,,,
PT0370,145727,0,,,,
PT0371,145743,0,,,,
PT0372,146714,0,Spanner,,,
PT0373,146900,0,,,,
PT0374,147115,0,,,,
PT0375,147901,0,,,,
PT0376,147947,A007,,,,
PT0377,148986,A008,,,,
PT0378,149839,0,,,,
PT0379,150448,A008,,,,
PT0380,150450,A008,,,,
PT0381,150452,0,,,,
PT0382,150512,0,,,,
PT0383,150521,0,,,,
PT0384,150522,0,,,,
PT0385,150688,0,,,,
PT0386,150689,0,,,,
PT0387,151599,0,,,,
PT0388,151705,A013,,,,
PT0389,151706,A013,,,,
PT0390,151823,0,,,,
PT0391,151930,A003,,,,
PT0392,151955,A014,,,,
PT0393,152478,0,,,,
PT0394,152534,0,,,,
PT0395,152642,0,,,,
PT0396,152650,0,,,,
PT0397,152651,0,,,,
PT0398,152677,0,,,,
PT0399,153359,0,Tanned,A004,,
PT0400,153548,0,,,,
PT0401,153549,0,,,,
PT0402,153550,0,,,,
PT0403,153551,0,,,,
PT0404,153552,0,,,,
PT0405,153760,0,,,,
PT0406,153762,0,,,,
PT0407,153807,0,,,,
PT0408,153810,0,,,,
PT0409,154001,A003,,,,
PT0410,154033,A010,,,,
PT0411,154160,0,,,,
PT0412,154185,0,,,,
PT0413,154409,A003,,,,
PT0414,155863,A008,,,,
PT0415,156436,0,,,,
PT0416,156508,0,,,,
PT0417,156613,0,,,,
PT0418,156614,0,,,,
PT0419,157084,0,,,,
PT0420,157424,0,,,,
PT0421,157433,A001,,,,
PT0422,157674,A003,,,,
PT0423,157966,0,,,,
PT0424,158222,0,,,,
PT0425,159134,0,Tanned,A004,,
PT0426,190029,0,,,,
PT0427,190169,0,,,,
PT0428,190170,0,,,,
PT0429,190232,0,,,,
PT0430,190233,0,,,,
PT0431,190372,0,,,,
PT0432,190373,0,,,,
PT0433,190727,0,,,,
PT0434,190775,0,,,,
PT0435,191186,0,,,,
PT0436,191274,0,,,,
PT0437,191405,A014,,,,
PT0438,191407,0,,,,
PT0439,191409,0,,,,
PT0440,192285,0,,,,
PT0441,192805,A014,,,,
PT0442,194531,0,,,,
PT0443,194548,0,,,,
PT0444,195357,A008,,,,
PT0445,195419,0,,,,
PT0446,195422,0,,,,
PT0447,195464,A003,,,,
PT0448,195465,0,,,,
PT0449,128787,0,,,,
PT0450,305007,0,,,,
PT0451,336990,0,,,,
PT0452,10002570,0,,,,
PT0453,10002581,0,,,,
PT0454,10003193,0,,,,
PT0455,10004662,A008,,,,
PT0456,10005601,0,"
",,,
PT0457,10036516,0,,,,
PT0458,10039501,A008,,,,
PT0459,10042205,A010,,,,
PT0460,10040625,A008,,,,
PT0461,10044290,0,,,,
PT0462,TS0101,0,,,,
PT0463,100507,0,Cylindrical,A004,,
PT0464,100033,0,Tanned,A004,,
PT0465,101375,A014,,,,
PT0466,110308,0,,,,
