PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ
step2.stl,464.67,900.57,365
hole_num,CenterX,CenterY,CenterZ
part3_1-hole_4,383.04,390.62,30.073
part6_1-hole_1,15.49,394.7,335
part6_1-hole_2,16.33,410.68,365
part6_1-hole_3,17.17,426.66,335
part6_1-hole_5,383.21,391.46,330
part6_1-hole_7,408.24,567.39,300
part6_1-hole_8,442.12,844.37,300
part6_1-hole_9,444.35,860.22,330
part6_1-hole_10,446.58,876.06,300
C122620_3_hole_1,362.87,414.96,245.03
C122620_4_hole_1,362.99,414.7,85.033
