PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ
step7.stl,464.67,900.57,400
hole_num,CenterX,CenterY,CenterZ
C122620_1_hole_1,36.521,435.62,87.845
C122620_2_hole_1,36.699,435.62,311.85
C122620_3_hole_1,362.87,414.96,280.03
C122620_4_hole_1,362.99,414.7,120.03
