PartName,SizeToAxisX,SizeToAxisY,SizeToAxisZ
step5.stl,464.67,900.57,400
hole_num,CenterX,CenterY,CenterZ
part6_1-hole_1,16.33,410.68,400
part6_1-hole_4,383.21,391.46,365
part6_1-hole_8,444.35,860.22,365
C122620_1-hole_1,36.521,435.62,87.845
C122620_2-hole_1,36.699,435.62,311.85
C122620_3-hole_1,362.87,414.96,280.03
C122620_4-hole_1,362.99,414.7,120.03
